source	almaMmsId	hbzId	zdbId
mapping	990120963950206441	HT013775646	
mapping	990069222230206441	HT007612692	
mapping	990165043150206441	HT015462161	
mapping	990065133340206441	HT004480797	
mapping	990066598520206441	HT005498798	
mapping	990124417040206441	HT013893492	
mapping	990048447580206441	HT002215499	
mapping	990053017960206441	HT003089343	
mapping	990173114730206441	HT015795866	
mapping	990074782920206441	HT010909423	
mapping	990078784140206441	HT002366495	
mapping	990058772120206441	HT000933331	
mapping	990052690850206441	HT001246381	
mapping	990048140070206441	HT001387429	
mapping	990110642130206441	BT000017052	
mapping	990189992660206441	HT017094978	
mapping	990202602630206441	HT018142007	
mapping	990135948690206441	HT014378624	
mapping	990159814030206441	HT015274382	
mapping	990052594990206441	HT001234627	
mapping	990159251760206441	HT015217414	
mapping	990038878080206441	HT009474589	
mapping	990209082910206441	HT018748784	
mapping	99373312455706441	HT030591383	
mapping	990025530740206441	HT006629459	
mapping	990111006830206441	BT000054110	
mapping	990112187790206441	BT000172876	
mapping	990064675370206441	HT004209356	
mapping	990053168870206441	HT003943800	
mapping	990119695810206441	HT013647337	
mapping	990125186600206441	HT013971328	
mapping	990211185220206441	HT018947671	
mapping	990047773020206441	HT001323351	
